0 1 2
1 1 1
2 1 1
3 0 2
4 1 1
5 1 1
6 0 2
7 0 1
8 1 2
9 1 1
10 1 2
11 0 0
12 1 0
13 1 2
14 0 1
15 1 0
16 1 1
17 1 1
18 0 1
19 1 2
20 0 2
21 1 2
22 1 2
23 0 0
24 1 2
25 1 1
26 0 1
27 0 0
28 1 0
29 1 2
30 1 1
31 1 2
32 0 2
33 1 0
34 1 1
35 1 0
36 0 1
37 1 0
38 1 1
39 1 2
40 1 2
41 1 0
42 1 1
43 0 2
44 1 2
45 1 1
46 0 2
47 1 0
48 1 2
49 0 2
50 1 0
51 0 1
52 1 0
53 0 2
54 1 0
55 1 2
56 1 0
57 0 2
58 1 2
59 0 1
60 1 1
61 0 1
62 1 1
63 0 2
64 1 2
65 1 2
66 0 0
67 1 1
68 1 2
69 0 1
70 0 2
71 1 2
72 0 0
73 1 2
74 1 2
75 1 1
76 1 2
77 0 2
78 1 2
79 1 2
80 1 1
81 1 2
82 1 1
83 1 0
84 0 1
85 1 1
86 1 1
87 1 2
88 1 1
89 1 2
90 0 0
91 1 2
92 1 2
93 1 0
94 0 2
95 1 1
96 1 2
97 1 0
98 1 1
99 0 1
100 1 1
101 1 0
102 1 0
103 0 2
104 1 0
105 0 1
106 0 2
107 1 1
108 1 0
109 0 2
110 1 0
111 1 2
112 1 1
113 1 2
114 0 1
115 1 2
116 1 2
117 0 2
118 1 2
119 1 2
120 0 0
121 1 0
122 1 0
123 1 0
124 0 1
125 1 1
126 1 1
127 1 1
128 1 1
129 0 1
130 0 0
131 1 2
132 1 2
133 1 1
134 1 2
135 1 0
136 1 0
137 0 2
138 0 1
139 1 2
140 1 0
141 0 2
142 1 2
143 1 1
144 1 0
145 1 0
146 0 2
147 1 1
148 1 1
149 1 0
150 0 2
151 1 0
152 0 0
153 1 1
154 1 2
155 1 2
156 1 2
157 1 1
158 1 0
159 1 2
160 1 2
161 0 1
162 1 1
163 1 1
164 1 1
165 0 0
166 1 1
167 1 0
168 1 2
169 1 1
170 1 1
171 0 2
172 1 1
173 1 1
174 0 2
175 1 0
176 1 2
177 1 2
178 0 0
179 1 2
180 1 2
181 0 0
182 1 2
183 1 1
184 0 1
185 1 2
186 1 2
187 1 0
188 1 1
189 1 1
190 1 0
191 1 1
192 0 1
193 0 1
194 1 2
195 0 2
196 1 2
197 1 2
198 0 0
199 1 2
200 1 0
201 1 0
202 1 0
203 1 0
204 1 1
205 1 2
206 1 1
207 1 2
208 0 2
209 1 1
210 0 2
211 1 2
212 0 1
213 0 1
214 1 2
215 1 2
216 1 0
217 1 2
218 1 0
219 1 1
220 1 1
221 1 0
222 1 0
223 1 1
224 0 0
225 1 0
226 1 2
227 1 1
228 1 1
229 0 0
230 0 2
231 0 2
232 1 2
233 0 2
234 1 0
235 1 2
236 1 2
237 0 2
238 1 2
239 1 2
240 1 2
241 1 2
242 1 2
243 1 1
244 1 2
245 1 2
246 0 2
247 1 2
248 1 0
249 1 0
250 1 2
251 1 2
252 0 1
253 1 0
254 0 2
255 1 2
256 0 1
257 0 2
258 1 2
259 1 2
260 1 0
261 1 0
262 1 2
263 1 0
264 1 0
265 0 2
266 1 1
267 1 2
268 1 2
269 1 0
270 0 0
271 1 2
272 1 1
273 1 2
274 1 0
275 1 0
276 0 0
277 0 2
278 1 1
279 1 2
280 1 1
281 0 2
282 1 1
283 0 2
284 1 1
285 1 1
286 0 2
287 0 1
288 1 1
289 1 1
290 1 2
291 1 0
292 1 2
293 1 0
294 1 1
295 1 1
296 0 0
297 1 0
298 1 1
299 1 0
300 1 0
301 1 1
302 1 1
303 1 0
304 0 1
305 0 2
306 1 2
307 1 1
308 1 1
309 0 2
310 1 2
311 0 1
312 1 0
313 1 2
314 1 0
315 1 1
316 1 1
317 1 0
318 0 0
319 1 0
320 0 0
321 1 0
322 1 2
323 1 2
324 1 1
325 1 0
326 1 2
327 1 0
328 1 2
329 1 2
330 1 1
331 1 2
332 1 2
333 1 1
334 1 2
335 1 2
336 1 2
337 1 0
338 1 1
339 1 2
340 1 0
341 1 2
342 1 0
343 1 1
