0 1 2
1 1 1
2 1 2
3 1 1
4 0 2
5 1 2
6 1 1
7 1 1
8 0 2
9 0 1
10 1 1
11 1 2
12 1 2
13 1 1
14 0 2
15 1 2
16 0 0
17 1 1
18 1 0
19 1 0
20 1 2
21 0 1
22 1 0
23 1 1
24 1 1
25 0 1
26 1 2
27 0 2
28 1 2
29 0 1
30 1 2
31 0 0
32 1 2
33 1 1
34 0 1
35 0 0
36 1 0
37 1 2
38 0 0
39 1 1
40 1 1
41 1 2
42 0 2
43 1 0
44 1 0
45 1 1
46 1 0
47 0 1
48 1 0
49 1 1
50 1 2
51 0 2
52 1 2
53 1 0
54 1 1
55 0 2
56 1 2
57 1 1
58 0 2
59 1 0
60 1 0
61 1 2
62 1 1
63 0 2
64 1 0
65 0 1
66 1 0
67 1 1
68 0 2
69 1 0
70 1 2
71 1 2
72 1 0
73 0 2
74 0 2
75 1 2
76 0 1
77 1 1
78 0 1
79 1 0
80 1 0
81 1 1
82 0 2
83 0 2
84 1 2
85 1 2
86 0 0
87 1 1
88 1 1
89 1 2
90 0 1
91 0 2
92 0 2
93 1 2
94 0 0
95 1 2
96 1 2
97 1 1
98 1 2
99 0 2
100 1 2
101 1 1
102 1 2
103 1 1
104 1 2
105 1 1
106 1 0
107 0 1
108 1 1
109 1 1
110 1 1
111 1 2
112 1 1
113 1 2
114 0 0
115 1 2
116 1 2
117 1 2
118 1 0
119 0 2
120 1 2
121 1 1
122 1 2
123 1 0
124 1 1
125 0 1
126 1 1
127 1 0
128 1 0
129 0 2
130 1 0
131 0 1
132 0 2
133 1 2
134 1 1
135 1 0
136 1 1
137 1 0
138 0 2
139 1 0
140 1 2
141 1 1
142 1 2
143 0 1
144 1 0
145 1 2
146 1 2
147 0 2
148 1 2
149 1 2
150 0 2
151 1 2
152 1 2
153 0 0
154 1 0
155 0 2
156 1 0
157 1 0
158 0 1
159 0 2
160 1 1
161 1 1
162 0 2
163 1 1
164 1 1
165 1 1
166 0 1
167 0 0
168 1 2
169 1 2
170 1 1
171 1 2
172 1 0
173 1 0
174 0 2
175 0 1
176 1 2
177 1 0
178 0 2
179 1 2
180 1 0
181 1 1
182 1 0
183 1 0
184 0 2
185 1 1
186 0 2
187 1 0
188 1 1
189 1 0
190 0 0
191 0 2
192 1 0
193 0 0
194 1 1
195 1 2
196 1 1
197 1 1
198 1 2
199 1 2
200 1 2
201 1 1
202 0 0
203 1 0
204 1 2
205 1 2
206 1 0
207 1 2
208 0 1
209 1 1
210 0 1
211 1 1
212 1 1
213 0 0
214 1 1
215 1 2
216 1 2
217 1 1
218 1 0
219 1 2
220 1 1
221 1 1
222 0 2
223 1 2
224 1 1
225 1 1
226 1 1
227 0 2
228 1 0
229 1 2
230 1 2
231 0 0
232 1 1
233 1 2
234 1 2
235 0 0
236 1 1
237 1 0
238 0 0
239 1 2
240 1 2
241 1 1
242 0 1
243 1 2
244 1 2
245 1 2
246 1 0
247 1 1
248 1 1
249 1 0
250 1 1
251 0 1
252 0 1
253 1 2
254 0 2
255 1 2
256 1 2
257 0 0
258 1 1
259 1 2
260 1 0
261 1 0
262 1 0
263 1 0
264 1 1
265 1 2
266 0 2
267 1 2
268 1 1
269 1 2
270 0 2
271 1 1
272 1 1
273 1 1
274 0 2
275 1 1
276 1 2
277 0 1
278 0 1
279 0 1
280 1 2
